,xyref,xgbound,dydx,dldp,xh,yh,ww
0,351.32706,25,-1.3563137844604243,6411.843391851454,25,-1.0255117812489327,7023.6639304615655
1,545.13459,250,0.013232080128459662,24.47067937769056,26,-1.0122797011204732,7048.13675200597
2,,,,,27.0,-0.9990476209920134,7072.609573550374
3,,,,,28.0,-0.9858155408635538,7097.082395094779
4,,,,,29.0,-0.972583460735094,7121.5552166391835
5,,,,,30.0,-0.9593513806066345,7146.028038183587
6,,,,,31.0,-0.9461193004781747,7170.500859727992
7,,,,,32.0,-0.9328872203497152,7194.973681272397
8,,,,,33.0,-0.9196551402212554,7219.4465028168015
9,,,,,34.0,-0.9064230600927958,7243.919324361205
10,,,,,35.0,-0.893190979964336,7268.39214590561
11,,,,,36.0,-0.8799588998358765,7292.864967450015
12,,,,,37.0,-0.8667268197074167,7317.337788994419
13,,,,,38.0,-0.8534947395789572,7341.810610538823
14,,,,,39.0,-0.8402626594504975,7366.283432083228
15,,,,,40.0,-0.8270305793220378,7390.756253627632
16,,,,,41.0,-0.8137984991935782,7415.229075172037
17,,,,,42.0,-0.8005664190651185,7439.701896716441
18,,,,,43.0,-0.7873343389366588,7464.174718260846
19,,,,,44.0,-0.7741022588081992,7488.64753980525
20,,,,,45.0,-0.7608701786797395,7513.120361349655
21,,,,,46.0,-0.7476380985512798,7537.593182894059
22,,,,,47.0,-0.7344060184228202,7562.066004438464
23,,,,,48.0,-0.7211739382943605,7586.538825982868
24,,,,,49.0,-0.7079418581659008,7611.0116475272725
25,,,,,50.0,-0.6947097780374412,7635.484469071676
26,,,,,51.0,-0.6814776979089815,7659.957290616081
27,,,,,52.0,-0.6682456177805218,7684.430112160486
28,,,,,53.0,-0.6550135376520622,7708.9029337048905
29,,,,,54.0,-0.6417814575236026,7733.375755249295
30,,,,,55.0,-0.6285493773951429,7757.848576793699
31,,,,,56.0,-0.6153172972666833,7782.321398338104
32,,,,,57.0,-0.6020852171382236,7806.7942198825085
33,,,,,58.0,-0.5888531370097639,7831.267041426912
34,,,,,59.0,-0.5756210568813043,7855.739862971317
35,,,,,60.0,-0.5623889767528446,7880.212684515722
36,,,,,61.0,-0.5491568966243849,7904.6855060601265
37,,,,,62.0,-0.5359248164959253,7929.15832760453
38,,,,,63.0,-0.5226927363674656,7953.631149148935
39,,,,,64.0,-0.5094606562390059,7978.103970693339
40,,,,,65.0,-0.49622857611054627,8002.576792237744
41,,,,,66.0,-0.4829964959820866,8027.049613782148
42,,,,,67.0,-0.46976441585362694,8051.522435326553
43,,,,,68.0,-0.45653233572516727,8075.995256870958
44,,,,,69.0,-0.4433002555967076,8100.468078415362
45,,,,,70.0,-0.43006817546824794,8124.940899959766
46,,,,,71.0,-0.41683609533978827,8149.41372150417
47,,,,,72.0,-0.4036040152113286,8173.886543048575
48,,,,,73.0,-0.39037193508286894,8198.35936459298
49,,,,,74.0,-0.37713985495440927,8222.832186137384
50,,,,,75.0,-0.3639077748259497,8247.305007681789
51,,,,,76.0,-0.35067569469749005,8271.777829226194
52,,,,,77.0,-0.33744361456903027,8296.250650770598
53,,,,,78.0,-0.3242115344405707,8320.723472315001
54,,,,,79.0,-0.31097945431211094,8345.196293859406
55,,,,,80.0,-0.2977473741836514,8369.66911540381
56,,,,,81.0,-0.2845152940551916,8394.141936948216
57,,,,,82.0,-0.27128321392673205,8418.61475849262
58,,,,,83.0,-0.25805113379827227,8443.087580037023
59,,,,,84.0,-0.24481905366981271,8467.560401581428
60,,,,,85.0,-0.23158697354135294,8492.033223125833
61,,,,,86.0,-0.21835489341289338,8516.506044670237
62,,,,,87.0,-0.20512281328443382,8540.978866214642
63,,,,,88.0,-0.19189073315597405,8565.451687759047
64,,,,,89.0,-0.1786586530275145,8589.924509303451
65,,,,,90.0,-0.1654265728990547,8614.397330847856
66,,,,,91.0,-0.15219449277059516,8638.87015239226
67,,,,,92.0,-0.13896241264213538,8663.342973936664
68,,,,,93.0,-0.12573033251367582,8687.815795481069
69,,,,,94.0,-0.11249825238521605,8712.288617025473
70,,,,,95.0,-0.09926617225675649,8736.761438569878
71,,,,,96.0,-0.08603409212829671,8761.234260114283
72,,,,,97.0,-0.07280201199983716,8785.707081658686
73,,,,,98.0,-0.05956993187137738,8810.17990320309
74,,,,,99.0,-0.046337851742917824,8834.652724747495
75,,,,,100.0,-0.033105771614458046,8859.1255462919
76,,,,,101.0,-0.01987369148599849,8883.598367836305
77,,,,,102.0,-0.006641611357538713,8908.07118938071
78,,,,,103.0,0.006590468770920843,8932.544010925114
79,,,,,104.0,0.01982254889938062,8957.016832469519
80,,,,,105.0,0.03305462902784018,8981.489654013923
